Dataset_Folder,File,Full_Path,CRS,Width,Height,Resolution_X,Resolution_Y,Transform,Bounds,NoData,Valid_Pixels,Masked_Pixels
GSMaP_Gauge,2021_04.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2021_04.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2021_05.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2021_05.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2021_06.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2021_06.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2021_07.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2021_07.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2021_08.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2021_08.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2021_09.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2021_09.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2021_10.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2021_10.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2021_11.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2021_11.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2021_12.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2021_12.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2022_01.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2022_01.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2022_02.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2022_02.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2022_03.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2022_03.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2022_04.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2022_04.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2022_05.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2022_05.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2022_06.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2022_06.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2022_07.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2022_07.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2022_08.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2022_08.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2022_09.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2022_09.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2022_10.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2022_10.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2022_11.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2022_11.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_Gauge,2022_12.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2022_12.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_MVK,2017_01.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_MVK\2017_01.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_MVK,2017_02.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_MVK\2017_02.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_MVK,2017_03.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_MVK\2017_03.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_MVK,2017_04.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_MVK\2017_04.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_MVK,2017_05.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_MVK\2017_05.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_MVK,2017_06.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_MVK\2017_06.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_MVK,2017_07.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_MVK\2017_07.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_MVK,2017_08.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_MVK\2017_08.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,438,8471
GSMaP_MVK,2017_09.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_MVK\2017_09.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_MVK,2017_10.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_MVK\2017_10.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_MVK,2017_11.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_MVK\2017_11.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_MVK,2017_12.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_MVK\2017_12.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_MVK,2018_01.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_MVK\2018_01.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_MVK,2018_02.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_MVK\2018_02.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
GSMaP_MVK,2018_03.tif,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_MVK\2018_03.tif,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",59,151,0.008983152841195215,0.008983152841195215,"(0.008983152841195215, 0.0, 89.22965717159208, 0.0, -0.008983152841195215, 23.014837579142142, 0.0, 0.0, 1.0)","(89.22965717159208, 21.658381500121664, 89.7596631892226, 23.014837579142142)",-9999.0,4837,4072
